Timestamp,URL,Which module bundler did you use?,Check any of the below you used in your app,Would you say your app was optimized for mobile? 📱,
10/20/2016 0:40:59,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 0:48:26,,Webpack 2,Tree Shaking,Yes,
10/20/2016 1:01:22,,Browserify,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers, HTTP/2",Yes,
10/20/2016 1:03:52,https://beta.tix.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/20/2016 1:16:56,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/20/2016 1:29:25,N/A,Webpack 1,,No,
10/20/2016 1:31:50,,Browserify,Service Workers,Yes,
10/20/2016 1:36:15,http://mundoestudiante.es,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/20/2016 1:55:42,https://shop.lego.com/en-GB/,Webpack 1,HTTP/2,Yes,
10/20/2016 2:05:21,,Webpack 1,,No,
10/20/2016 2:09:03,https://shelterwelfare.nl/,Webpack 2,,Yes,
10/20/2016 2:59:15,http://P1.neustar.biz/manage,Browserify,,No,
10/20/2016 3:01:14,,,,,
10/20/2016 3:20:29,http://Goskive.com,Webpack 1,,No,
10/20/2016 3:42:11,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/20/2016 3:45:40,,Browserify,,No,
10/20/2016 3:46:42,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 3:48:23,Behind firewall :(,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/20/2016 3:51:20,,Webpack 1,,No,
10/20/2016 4:42:20,http://tracker.toptal.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
